index,X_img,Y_img,latitude,longitude
TOWER,69857,38264,-22.935366911046646,-43.54387844310087
TOWER,75738,3687,-22.78044981115005,-43.51774552289177
TOWER,78230,24588,-22.874210582059973,-43.50652133717256
TOWER,55149,23823,-22.87115433636834,-43.610483057358685
TOWER,102707,9323,-22.8063403858858,-43.39730879839728
TOWER,102653,9219,-22.806098040412454,-43.397775537827435
TOWER,102562,9217,-22.80568964341108,-43.397784513585705
TOWER,75346,3978,-22.780485714183136,-43.518234701717596
TOWER,93571,30230,-22.89997549617992,-43.4381170833812
TOWER,85837,36103,-22.926301395191867,-43.4727949254653
TOWER,85799,36102,-22.9261308557847,-43.47279941334444
TOWER,104628,31312,-22.9047191844267,-43.38838240679573
TOWER,33171,29825,-22.898180344525507,-43.70920742259305
TOWER,39966,33112,-22.912519118365122,-43.67829939898322
TOWER,19401,30613,-22.901007708381204,-43.77029643339269
TOWER,118449,10299,-22.808772816377527,-43.32471286549288
TOWER,118421,10344,-22.80864715576172,-43.32451091093175
TOWER,38837,30602,-22.900271696202896,-43.68238336899701
TOWER,76342,21187,-22.858556859633506,-43.51460400749656
TOWER,28740,8429,-22.802898182588468,-43.72983371510225
TOWER,26451,29730,-22.896744223201978,-43.738356197581574
TOWER,133932,36977,-22.930318047018616,-43.25704462387982
TOWER,58592,11955,-22.816595189711627,-43.59373429242302
TOWER,103276,31535,-22.904037026798022,-43.39276706471163
TOWER,135451,37628,-22.93354483211742,-43.25053271125345
TOWER,135441,37803,-22.93349995332606,-43.249747332404645
TOWER,135443,37741,-22.93350892908433,-43.25002558091108
TOWER,141011,38663,-22.9369556202608,-43.224345936494714
TOWER,132236,36725,-22.92809205896714,-43.26356102438534
TOWER,132226,36766,-22.92804718017578,-43.26337702134076
TOWER,132168,36763,-22.92778688318589,-43.26339048497817
TOWER,132122,36719,-22.927580440745636,-43.263587951660156
TOWER,132083,36727,-22.92740541345933,-43.26355204862706
TOWER,78715,29920,-22.89792902329389,-43.5041337854722
TOWER,119594,11078,-22.81391143798828,-43.32121680764591
TOWER,78754,29456,-22.89630889892578,-43.5044210097369
TOWER,1738,2976,-22.776859507841227,-43.849449157714844
TOWER,1672,2947,-22.776563307818247,-43.84957930620979
TOWER,23011,27072,-22.88489622228286,-43.75387528363396
TOWER,72687,7990,-22.79907002168543,-43.53074690874885
TOWER,116772,26387,-22.882028467514935,-43.333293690400964
TOWER,27308,7727,-22.798266691320084,-43.734779357910156
TOWER,27232,7824,-22.797925612505743,-43.73434403363396
TOWER,103753,31230,-22.904382593491498,-43.39234071619371
TOWER,103715,31231,-22.90421205408433,-43.39233622831457
TOWER,53339,29822,-22.89713915656595,-43.61766815185546
TOWER,117434,3121,-22.777290344238285,-43.32999958711512
TOWER,117379,3184,-22.777043510885804,-43.329716850729554
TOWER,107844,31764,-22.90658614214729,-43.373787823845355
TOWER,108450,31811,-22.9057154935949,-43.36998659021714
TOWER,108423,31755,-22.905594320858228,-43.37023791144876
TOWER,120930,21912,-22.861195732565488,-43.313883613137634
TOWER,44967,3077,-22.77698965633617,-43.655119503245636
TOWER,44920,2994,-22.776778726016776,-43.65549199721392
TOWER,35236,29869,-22.89667690501494,-43.69823904598461
TOWER,35224,29778,-22.896623050465305,-43.69864744298599
TOWER,81814,22485,-22.865163017721738,-43.49082722383387
TOWER,53536,37621,-22.933926301843982,-43.6185702155618
TOWER,53331,37634,-22.933006286621097,-43.61851187313304
TOWER,53359,37662,-22.933131947236905,-43.61838621251723
TOWER,83971,36339,-22.926902770996094,-43.48071154426126
TOWER,121457,14015,-22.827657811781943,-43.31342136158662
TOWER,116923,27936,-22.888091592227713,-43.331727420582496
TOWER,141733,43982,-22.959942537195545,-43.2202215755687
TOWER,96822,35642,-22.92354134952321,-43.422804439769074
TOWER,97576,34850,-22.92153975542854,-43.420973385081574
TOWER,95004,38302,-22.935129053452435,-43.430613349465766
TOWER,130851,36383,-22.925466649672565,-43.268686182358685
TOWER,130836,36235,-22.925399331485526,-43.26935038847082
TOWER,17811,2724,-22.775391971363742,-43.77697888542624
TOWER,17730,2699,-22.775028453153723,-43.777091082404645
TOWER,96851,7770,-22.79801088220933,-43.42222999123966
TOWER,121873,15184,-22.83131992115694,-43.309970182531025
TOWER,94875,32229,-22.907622842227713,-43.430940964642694
TOWER,94818,32293,-22.90736703311696,-43.430653740377984
TOWER,123637,17279,-22.84103169160731,-43.30236322739545
TOWER,51579,1496,-22.77076048009536,-43.62631180707146
TOWER,51304,1351,-22.769526313332953,-43.626962549546185
TOWER,51235,1216,-22.769216649672565,-43.627568413229554
TOWER,41550,28975,-22.89449579575483,-43.671733631807214
TOWER,25490,20827,-22.85832348991843,-43.74420390409582
TOWER,25486,20917,-22.858305538401886,-43.74379999497357
TOWER,104298,31139,-22.903238184311814,-43.38915880988626
TOWER,64763,40577,-22.946613536161536,-43.56760586009305
TOWER,115192,22890,-22.867757011862363,-43.341807197122016
TOWER,115178,22992,-22.86769418155446,-43.34134943345014
